time,plasma_current
0.13019967,645.91235
0.1303997,645.9048
0.13059974,645.31067
0.13079977,644.39276
0.1309998,643.85486
0.1311996,643.16156
0.13139963,643.2066
0.13159966,643.0789
0.1317997,643.05695
0.13199973,642.9924
0.13219976,643.0018
0.1323998,642.7927
0.13259959,642.3435
0.13279963,641.73865
0.13299966,641.42633
0.13319969,641.3751
0.13339972,640.5697
0.13359976,639.1902
0.13379979,638.50854
0.13399982,637.3573
0.13419962,636.6651
0.13439965,635.9071
0.13459969,635.3016
0.13479972,635.18176
0.13499975,634.7312
0.13519979,633.97705
0.13539982,633.6608
0.13559961,633.7652
0.13579965,633.8391
0.13599968,633.47015
0.13619971,633.18634
0.13639975,633.3734
0.13659978,633.4914
0.13679981,633.65704
0.1369996,633.4854
0.13719964,633.3085
0.13739967,633.224
0.1375997,632.5255
0.13779974,631.94806
0.13799977,631.7626
0.1381998,631.7773
0.1383996,632.488
0.13859963,632.9113
0.13879967,633.95636
0.1389997,634.1993
0.13919973,634.33545
0.13939977,634.5155
0.1395998,634.7517
0.1397996,635.07043
0.13999963,635.87445
0.14019966,636.3482
0.1403997,636.9113
0.14059973,636.81836
0.14079976,636.3269
0.1409998,635.1664
0.14119959,634.21
0.14139962,633.7681
0.14159966,632.9923
0.14179969,633.34973
0.14199972,632.9993
0.14219975,633.2781
0.14239979,633.2694
0.14259982,633.2549
0.14279962,633.08246
0.14299965,633.1237
0.14319968,632.997
0.14339972,633.54736
0.14359975,633.6896
0.14379978,633.24896
0.14399981,633.3904
0.14419961,632.7497
0.14439964,632.16046
0.14459968,632.06714
0.14479971,632.03937
0.14499974,632.4974
0.14519978,632.32404
0.14539981,632.5617
0.1455996,632.6907
0.14579964,633.02216
0.14599967,633.65436
0.1461997,633.6828
0.14639974,634.16364
0.14659977,634.2786
0.1467998,634.6472
0.1469996,634.3845
0.14719963,634.7482
0.14739966,635.0379
0.1475997,634.1579
0.14779973,633.70996
0.14799976,633.62726
0.1481998,633.6959
0.14839959,634.48486
0.14859962,634.32544
0.14879966,635.2812
0.14899969,635.6539
0.14919972,635.88654
0.14939976,636.337
0.14959979,635.65155
0.14979982,636.35
0.14999962,637.13385
0.15019965,636.76324
0.15039968,635.87524
0.15059972,636.49316
0.15079975,636.5033
0.15099978,635.8235
0.15119982,635.5007
0.15139961,635.8451
0.15159965,636.5569
0.15179968,636.8671
0.15199971,637.7157
0.15219975,637.9097
0.15239978,637.94934
0.15259981,637.83466
0.1527996,638.0903
0.15299964,638.863
0.15319967,639.8205
0.1533997,640.83704
0.15359974,641.63226
0.15379977,642.1093
0.1539998,642.26917
0.1541996,642.12067
0.15439963,641.5824
0.15459967,641.50183
0.1547997,641.7774
0.15499973,642.9209
0.15519977,643.4503
0.1553998,644.05975
0.1555996,644.70636
0.15579963,645.0169
0.15599966,644.89044
0.1561997,645.4758
0.15639973,645.6557
0.15659976,646.28546
0.1567998,646.7323
0.15699959,647.12885
0.15719962,647.5363
0.15739965,647.555
0.15759969,647.4454
0.15779972,647.4663
0.15799975,647.27216
0.15819979,647.6867
0.15839982,647.651
0.15859962,647.7698
0.15879965,648.63727
0.15899968,649.00885
0.15919971,648.76434
0.15939975,648.75
0.15959978,648.65906
0.15979981,648.9715
0.15999961,648.634
0.16019964,648.1312
0.16039968,647.878
0.16059971,647.4998
0.16079974,647.0985
0.16099977,646.21027
0.16119981,645.8245
0.1613996,645.1575
0.16159964,644.80676
0.16179967,643.8654
0.1619997,643.3903
0.16219974,643.5021
0.16239977,643.5249
0.1625998,643.56464
0.1627996,643.99097
0.16299963,643.9336
0.16319966,644.4856
0.1633997,644.0996
0.16359973,644.3638
0.16379976,643.9418
0.1639998,643.87146
0.16419959,643.5783
0.16439962,643.24426
0.16459966,642.9374
0.16479969,642.78656
0.16499972,642.6838
0.16519976,642.37604
0.16539979,642.29626
0.16559982,642.1336
0.16579962,642.5492
0.16599965,642.438
0.16619968,642.63635
0.16639972,642.5155
0.16659975,643.1543
0.16679978,642.6675
0.16699982,642.287
0.16719961,642.25323
0.16739964,641.9093
0.16759968,642.09247
0.16779971,641.93854
0.16799974,641.7627
0.16819978,642.3274
0.16839981,641.70654
0.1685996,641.4099
0.16879964,640.96844
0.16899967,640.86975
0.1691997,640.73816
0.16939974,640.7496
0.16959977,640.5697
0.1697998,640.5311
0.1699996,639.94165
0.17019963,639.18695
0.17039967,638.1447
0.1705997,637.30554
0.17079973,636.7962
0.17099977,636.31287
0.1711998,636.15173
0.1713996,636.0942
0.17159963,635.8693
0.17179966,635.2101
0.1719997,634.8316
0.17219973,634.2335
0.17239976,633.7066
0.17259979,633.6774
0.17279983,633.8055
0.17299962,634.2045
0.17319965,634.0615
0.17339969,634.0926
0.17359972,634.05664
0.17379975,633.6185
0.17399979,633.65216
0.17419982,633.65027
0.17439961,633.74
0.17459965,633.7297
0.17479968,633.87915
0.17499971,633.6438
0.17519975,633.2264
0.17539978,633.1161
0.17559981,633.1641
0.17579961,633.47327
0.17599964,633.8238
0.17619967,633.6271
0.17639971,633.9019
0.17659974,633.9152
0.17679977,633.59
0.1769998,633.6025
0.1771996,633.6486
0.17739964,634.069
0.17759967,634.30695
0.1777997,634.3998
0.17799973,634.87195
0.17819977,635.0745
0.1783998,634.85504
0.1785996,634.5056
0.17879963,634.8571
0.17899966,634.9774
0.1791997,635.4874
0.17939973,635.378
0.17959976,635.74603
0.1797998,635.6493
0.17999959,635.0781
0.18019962,634.55457
0.18039966,634.3434
0.18059969,630.0342
0.18079972,631.2431
0.18099976,631.26483
0.18119979,631.5079
0.18139982,632.0803
0.18159962,631.96576
0.18179965,631.95026
0.18199968,631.71814
0.18219972,632.0864
0.18239975,632.22125
0.18259978,632.2741
0.18279982,632.3309
0.18299961,632.7007
0.18319964,632.5829
0.18339968,632.33417
0.18359971,632.2535
0.18379974,631.84717
0.18399978,632.26196
0.18419981,632.1601
0.1843996,632.0453
0.18459964,631.77844
0.18479967,631.6291
0.1849997,631.3015
0.18519974,631.09644
0.18539977,630.867
0.1855998,630.92883
0.1857996,631.06366
0.18599963,631.18353
0.18619967,630.98364
0.1863997,631.51215
0.18659973,631.5103
